"company_name","address","company_tax_code","ward_or_commune","district","province_or_city","country","einvoice_contact_name","einvoice_contact_email"
"CHI NHÁNH CÔNG TY TNHH TỰ ĐỘNG HÓA VÀ CƠ KHÍ CHÍNH XÁC VIỆT LONG - PHÚ THỌ","Lô CN 07A-02, Khu công nghiệp Cẩm Khê, Thị trấn Cẩm Khê, Huyện Cẩm Khê, Tỉnh Phú Thọ, Việt Nam","0108272432-001","Thị trấn Cẩm Khê","Huyện Cẩm Khê","Phú Thọ","Việt Nam","CHI NHÁNH CÔNG TY TNHH TỰ ĐỘNG HÓA VÀ CƠ KHÍ CHÍNH XÁC VIỆT LONG - PHÚ THỌ","NHUSON0705@GMAIL.COM"
"CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ VHL","Thôn 3, Xã Vạn Phúc, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam","0110137014","Xã Vạn Phúc","Huyện Thanh Trì","Hà Nội","Việt Nam","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ VHL","logistic.vhl@gmail.com"
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NACO HÀ NỘI","THÔN LAM CẦU, XÃ DƯƠNG QUANG, HUYỆN GIA LÂM, TP. HÀ NỘI, VIỆT NAM","0107777575",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH CƠ KHÍ VIỆT HÀ","Khu D, Khu CN Phố Nối A, Xã Trưng Trắc, Huyện Văn Lâm, Tỉnh Hưng Yên, Việt Nam","0900237611","Xã Trưng Trắc","Huyện Văn Lâm","Hưng Yên","Việt Nam","CÔNG TY TNHH CƠ KHÍ VIỆT HÀ","PHAMVANTHIENCDHH@GMAIL.COM"
"CÔNG TY TNHH VẬT TƯ THIẾT BỊ VIỆT HÀN","ĐỘI 6, XÓM KÊ,THÔN NHAN MỸ, XÃ MỸ ĐÌNH, HUYỆN TỪ LIÊM, HÀ NỘI","0104494956",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH NHẬT LINH","Cụm Công Nghiệp Thanh Khương,Xã Thanh Khương,Huyện Thuận Thành,Tỉnh Bắc Ninh","2300336011",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY TNHH  YOUNG FAST OPTOELECTRONICS (VIỆT NAM)","Lô CN8, Khu công nghiệp Thạch Thất - Quốc Oai, Xã Phùng Xá, Huyện Thạch Thất, Thành phố Hà Nội, Việt Nam","0500579498","Xã Phùng Xá","Huyện Thạch Thất","Hà Nội","Việt Nam","CÔNG TY TNHH YOUNG FAST OPTOELECTRONICS (VIỆT NAM)","LENH.HUONGANPHAT@GMAIL.COM;TRANGNTH2@HOPNHAT.VN"
"CÔNG TY CỔ PHẦN ĐẦU TƯ XUẤT NHẬP KHẨU HOÀNG LONG","Thôn Giao Quang, Xã Đại Mỗ, Huyện Từ Liêm,Thành Phố Hà Nội, Việt Nam","0105204378",NULL,NULL,NULL,"Việt Nam",NULL,NULL
"CÔNG TY CỔ PHẦN LANDCO","CH02-19 số 2 đường 2.5 Khu đô thị Gamuda Gardens, Phường Trần Phú, Quận Hoàng Mai, Hà Nội","0101192354",NULL,"Quận Hoàng Mai","Hà Nội","Việt Nam","CÔNG TY CỔ PHẦN LANDCO","minhtamhp75@gmail.com"
"CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI TDC VỆT NAM","SỐ 15,NGÕ 88,TRẦN DUY HƯNG,PHƯỜNG TRUNG HÒA,QUẬN CẦU GIẤY,TP.HÀ NỘI","0105824195",NULL,NULL,NULL,"Việt Nam",NULL,NULL
